GeneID,EC,HMMER,dbCAN_sub,DIAMOND,Number_of_Tools,dbCAN subfam,Subfam Composition,Subfam EC,Substrate,Profile Length,Gene Length,E Value,Profile Start,Profile End,Gene Start,Gene End,Coverage
jgi|Neocon1|126829|CE126828_2543,3.1.1.72:6|3.1.1.73:2,CE6(87-198),CE6_e2,CE6+3.1.1.72,3,CE6_e2,CE6:151|CE0:39|CBM48:38|GH95:11|GH51:3|GH97:2|GH43_10:2|GH43_17:1|CBM5:1|CBM4:1|GH10:1|GH43_28:1|CBM88:1|CBM9:1,3.1.1.72:6|3.1.1.73:2,xylan,111,376,1.10E-48,1,110,89,198,"0.9819819819819819	0.9819819819819819"
jgi|Neocon1|126914|CE126913_189,3.2.1.52:8,GH3(69-292),GH3_e28,GH3,3,GH3_e28,GH3:930|GH171:3,3.2.1.52:8,chitin,224,529,1.70E-88,4,223,74,291,"0.9776785714285714	0.9776785714285714"
jgi|Neocon1|141455|CE141454_34476,3.2.1.21:13,GH3(63-271),GH3_e180,GH3,3,GH3_e180,GH3:184,3.2.1.21:13,beta-glucan,210,760,1.80E-83,1,210,65,272,"0.9952380952380953	0.9952380952380953"
jgi|Neocon1|141458|CE141457_44172,3.2.1.21:13,GH3(12-220),GH3_e180,GH3,3,GH3_e180,GH3:184,3.2.1.21:13,beta-glucan,210,709,1.60E-83,1,210,14,221,"0.9952380952380953	0.9952380952380953"
jgi|Neocon1|146718|CE146717_181376,3.2.1.91:55|3.2.1.4:4,GH6(141-441),GH6_e20,GH6,3,GH6_e20,GH6:222|CBM1:116|GH131:1,3.2.1.91:55|3.2.1.4:4,"cellulose, cellulose",295,483,3.80E-110,2,294,142,442,"0.9898305084745763	0.9898305084745763"
jgi|Neocon1|153450|CE153449_12911,3.2.1.91:13|3.2.1.4:5|3.2.1.-:1|3.2.1.73:1,GH6(157-428),GH6_e3,GH6,3,GH6_e3,GH6:36|CBM1:12,3.2.1.91:13|3.2.1.4:5|3.2.1.-:1|3.2.1.73:1,"cellulose, cellulose, cellulose",271,468,4.80E-154,1,271,158,429,"0.996309963099631	0.996309963099631"
jgi|Neocon1|1551|CE1550_1066,3.2.1.91:7|3.2.1.4:1|3.2.1.8:1|3.2.1.91:13|3.2.1.4:5|3.2.1.-:1|3.2.1.73:1,GH6(175-440),CBM1_e5+GH6_e3,CBM1+GH6+3.2.1.91,3,GH6_e3,GH6:36|CBM1:12,3.2.1.91:13|3.2.1.4:5|3.2.1.-:1|3.2.1.73:1,"cellulose, cellulose, cellulose",271,480,1.70E-147,2,271,177,441,"0.992619926199262	0.992619926199262"
jgi|Neocon1|159199|CE159198_1658,3.1.1.72:1|3.2.1.8:1,CE1(248-374),CE1_e24,-,2,CE1_e24,CE1:8|CBM4:3|GH11:1|CBM88:1|CBM9:1|CBM6:1|CBM35:1,3.1.1.72:1|3.2.1.8:1,xylan,151,493,1.00E-18,2,149,248,409,"0.9735099337748344	0.9735099337748344"
jgi|Neocon1|173329|CE173328_7844,3.2.1.8:12|3.1.1.72:1,GH11(52-239),GH11_e2,CBM1+GH11+3.2.1.8,3,GH11_e2,GH11:25|CBM1:4|CE1:1,3.2.1.8:12|3.1.1.72:1,xylan,184,333,1.40E-73,1,182,53,236,"0.9836956521739131	0.9836956521739131"
jgi|Neocon1|18249|CE18248_5096,3.5.1.41:1,CE4(397-524),CE4_e46,-,2,CE4_e46,CE4:78|CBM18:52|CBM50:1,3.5.1.41:1,chitin,128,604,1.40E-41,2,127,401,525,"0.9765625	0.9765625"
jgi|Neocon1|183922|CE183921_321,3.2.1.4:7,GH5_1(3-307),GH5_e161,CBM3+GH5_1,3,GH5_e161,GH5_1:188|CBM2:133|GH18:11|CBM3:7|GH5_7:4|GH5:3|CBM1:1,3.2.1.4:7,beta-glucan,320,338,5.40E-117,14,320,3,308,"0.95625	0.95625"
jgi|Neocon1|184763|CE184762_1177,3.2.1.73:46|3.2.1.6:5|3.2.1.8:2,GH16_21(31-228),GH16_e14,GH16_21+3.2.1.73,3,GH16_e14,GH16_21:709|GH16:9|CBM6:3|CBM13:2|CBM22:2|GH11:2|CBM61:1|CBM2:1|CBM4:1|GH9:1|CBM16:1,3.2.1.73:46|3.2.1.6:5|3.2.1.8:2,"beta-glucan, beta-glucan",200,236,5.10E-91,2,200,34,229,"0.99	0.99"
jgi|Neocon1|187754|CE187753_938,-,CE4(27-155),CE4_e369,CE4,3,CE4_e369,CE4:62,-,unassigned,118,560,2.10E-31,2,117,29,151,"0.9745762711864406	0.9745762711864406"
jgi|Neocon1|196013|CE196012_8104,3.2.1.8:12|3.1.1.72:1|3.2.1.8:12|3.1.1.72:1,GH11(56-244)+GH11(365-553),GH11_e2+GH11_e2,CBM1+GH11+3.2.1.8,3,GH11_e2,GH11:25|CBM1:4|CE1:1,3.2.1.8:12|3.1.1.72:1,xylan,184,689,8.50E-72,1,183,366,551,"0.9891304347826086	0.9891304347826086"
jgi|Neocon1|198324|CE198323_48000,3.2.1.91:13|3.2.1.4:5|3.2.1.-:1|3.2.1.73:1,GH6(151-423),GH6_e3,GH6,3,GH6_e3,GH6:36|CBM1:12,3.2.1.91:13|3.2.1.4:5|3.2.1.-:1|3.2.1.73:1,"cellulose, cellulose, cellulose",271,463,2.00E-153,2,271,154,424,"0.992619926199262	0.992619926199262"
jgi|Neocon1|209608|CE209607_2250,3.1.1.72:6|3.1.1.73:2,CE6(85-194),CE6_e2,CE6+3.1.1.72,3,CE6_e2,CE6:151|CE0:39|CBM48:38|GH95:11|GH51:3|GH97:2|GH43_10:2|GH43_17:1|CBM5:1|CBM4:1|GH10:1|GH43_28:1|CBM88:1|CBM9:1,3.1.1.72:6|3.1.1.73:2,xylan,111,458,3.20E-46,1,110,87,194,"0.9819819819819819	0.9819819819819819"
jgi|Neocon1|211528|CE211527_1169,3.2.1.8:12|3.1.1.72:1,GH11(45-228),GH11_e2,CBM1+GH11+3.2.1.8,3,GH11_e2,GH11:25|CBM1:4|CE1:1,3.2.1.8:12|3.1.1.72:1,xylan,184,369,1.30E-101,1,183,46,228,"0.9891304347826086	0.9891304347826086"
jgi|Neocon1|214246|CE214245_5263,3.2.1.37:2|3.2.1.55:2|3.2.1.8:1|3.2.1.37:2|3.2.1.55:2|3.2.1.8:1|3.2.1.37:2|3.2.1.55:2|3.2.1.8:1|3.2.1.37:2|3.2.1.55:2|3.2.1.8:1,GH43_29(116-401)+GH43_29(448-731)+GH43_29(778-1063)+GH43_29(1169-1454),GH43_e59+GH43_e59+GH43_e59+GH43_e59,GH43_29+3.2.1.37+3.2.1.55,3,GH43_e59,GH43_29:334|CBM6:308|CBM2:13|CBM13:12|CBM22:12|CBM42:12|GH43_10:9|GH43:9|CBM48:6|CE0:6|GH43_17:4|GH27:3|GH43_30:2|CE6:2|CBM64:1|CBM51:1|GH43_26:1|CBM1:1,3.2.1.37:2|3.2.1.55:2|3.2.1.8:1,"xylan, xylan, xylan",281,1464,3.10E-118,1,280,449,731,"0.9928825622775801	0.9928825622775801"
jgi|Neocon1|219849|CE219848_50813,3.2.1.8:5|3.1.1.73:2|3.2.1.55:1,GH10(172-504),GH10_e118,GH10,3,GH10_e118,GH10:18|CBM22:16|CE0:7|CBM37:4|CBM6:1|GH43_16:1|GH11:1,3.2.1.8:5|3.1.1.73:2|3.2.1.55:1,xylan,335,509,4.40E-87,11,334,171,504,"0.9641791044776119	0.9641791044776119"
jgi|Neocon1|23852|CE23851_9545,3.2.1.78:15,GH5_7(56-353),GH5_e4,CBM1+GH5_7+3.2.1.78,3,GH5_e4,GH5_7:157|CBM27:33|GH5_41:2|CBM23:1|CBM3:1|GH44:1,3.2.1.78:15,beta-mannan,275,578,1.30E-77,2,274,58,353,"0.9890909090909091	0.9890909090909091"
jgi|Neocon1|248348|CE248347_16423,3.2.1.55:2|3.2.1.21:1|3.2.1.23:1|3.2.1.74:1|3.2.1.55:2,CBM13(441-591),GH39_e81+CBM13_e331,CBM13+GH39+3.2.1.55,3,GH39_e81,GH39:15|CBM13:5,3.2.1.55:2|3.2.1.21:1|3.2.1.23:1|3.2.1.74:1,"xylan, beta-glucan, beta-galactan, cellulose",133,695,1.80E-63,1,132,112,244,"0.9849624060150376	0.9849624060150376"
jgi|Neocon1|268491|CE268490_76656,3.2.1.91:55|3.2.1.4:4,GH6(141-435),GH6_e20,GH6,3,GH6_e20,GH6:222|CBM1:116|GH131:1,3.2.1.91:55|3.2.1.4:4,"cellulose, cellulose",295,478,4.80E-87,3,287,143,435,"0.9627118644067797	0.9627118644067797"
jgi|Neocon1|269694|CE269693_189,4.2.2.2:5,PL3_2(37-239),PL3_e18,-,2,PL3_e18,PL3_2:145|PL3:3,4.2.2.2:5,pectin,191,265,6.70E-62,2,191,39,240,"0.9895287958115183	0.9895287958115183"
jgi|Neocon1|269745|CE269744_647,3.2.1.91:55|3.2.1.4:4,GH6(141-443),GH6_e20,GH6+3.2.1.91,3,GH6_e20,GH6:222|CBM1:116|GH131:1,3.2.1.91:55|3.2.1.4:4,"cellulose, cellulose",295,483,3.90E-109,2,295,142,443,"0.9932203389830508	0.9932203389830508"
jgi|Neocon1|271899|CE271898_84,3.5.1.41:1,CE4(79-207),CE4_e46,-,2,CE4_e46,CE4:78|CBM18:52|CBM50:1,3.5.1.41:1,chitin,128,285,2.40E-33,4,126,84,205,"0.953125	0.953125"
jgi|Neocon1|28|CE27_657,2.4.1.214:21,GT10(241-509),GT10_e29,-,2,GT10_e29,GT10:75,2.4.1.214:21,unassigned,241,538,1.10E-60,9,233,277,510,"0.9294605809128631	0.9294605809128631"
jgi|Neocon1|281580|CE281579_3101,3.2.1.8:3,GH10(29-324),GH10_e134,CBM1+GH10,3,GH10_e134,GH10:5|CBM1:1,3.2.1.8:3,xylan,318,405,1.00E-123,2,317,29,324,"0.9905660377358491	0.9905660377358491"
jgi|Neocon1|28318|CE28317_202,3.2.1.8:12|3.1.1.72:1,GH11(45-220),GH11_e2,CBM1+GH11+3.2.1.8,3,GH11_e2,GH11:25|CBM1:4|CE1:1,3.2.1.8:12|3.1.1.72:1,xylan,184,525,3.60E-80,1,183,46,220,"0.9891304347826086	0.9891304347826086"
jgi|Neocon1|290889|CE290888_796,3.2.1.91:55|3.2.1.4:4,GH6(149-450),GH6_e20,GH6+3.2.1.91,3,GH6_e20,GH6:222|CBM1:116|GH131:1,3.2.1.91:55|3.2.1.4:4,"cellulose, cellulose",295,490,8.90E-109,2,295,149,450,"0.9932203389830508	0.9932203389830508"
jgi|Neocon1|290892|CE290891_696,3.2.1.91:55|3.2.1.4:4,GH6(148-450),GH6_e20,GH6+3.2.1.91,3,GH6_e20,GH6:222|CBM1:116|GH131:1,3.2.1.91:55|3.2.1.4:4,"cellulose, cellulose",295,490,3.00E-109,2,295,149,450,"0.9932203389830508	0.9932203389830508"
jgi|Neocon1|290894|CE290893_219,3.2.1.91:55|3.2.1.4:4,GH6(148-278),GH6_e20,GH6+3.2.1.91,3,GH6_e20,GH6:222|CBM1:116|GH131:1,3.2.1.91:55|3.2.1.4:4,"cellulose, cellulose",295,281,1.50E-42,2,129,149,279,"0.43050847457627117	0.43050847457627117"
jgi|Neocon1|300833|CE300832_108,3.2.1.91:55|3.2.1.4:4,GH6(144-448),GH6_e20,GH6+3.2.1.91,3,GH6_e20,GH6:222|CBM1:116|GH131:1,3.2.1.91:55|3.2.1.4:4,"cellulose, cellulose",295,490,2.40E-104,5,294,152,449,"0.9796610169491525	0.9796610169491525"
jgi|Neocon1|304558|CE304557_889,-,PL1_6(130-344),PL1_e14,PL1,3,PL1_e14,PL1:17|PL1_6:9,-,unassigned,231,462,1.00E-87,3,231,130,345,"0.987012987012987	0.987012987012987"
jgi|Neocon1|312248|CE312247_811,3.2.1.8:3,GH10(28-324),GH10_e134,CBM1+GH10,3,GH10_e134,GH10:5|CBM1:1,3.2.1.8:3,xylan,318,532,1.20E-122,2,317,29,324,"0.9905660377358491	0.9905660377358491"
jgi|Neocon1|312309|CE312308_6996,3.2.1.8:3|3.2.1.8:3|3.2.1.-:1|3.1.1.73:1,GH10(26-327)+CBM13(371-514),GH10_e134+CBM13_e165,CBM1+GH10+3.2.1.8,3,GH10_e134,GH10:5|CBM1:1,3.2.1.8:3,xylan,318,619,2.40E-118,3,318,27,328,"0.9905660377358491	0.9905660377358491"
jgi|Neocon1|321049|CE321048_187442,3.2.1.176:20|3.2.1.4:3|3.2.1.-:3|3.2.1.151:2|3.2.1.14:1,GH48(29-648),GH48_e1,GH48,3,GH48_e1,GH48:896|CBM2:278|CBM3:100|GH9:15|GH74:4|GH10:3|CBM64:1,3.2.1.176:20|3.2.1.4:3|3.2.1.-:3|3.2.1.151:2|3.2.1.14:1,"cellulose, cellulose, chitin",623,755,1.20E-275,2,619,31,648,"0.9903691813804173	0.9903691813804173"
jgi|Neocon1|329678|CE329677_1207,3.2.1.8:4,GH10(105-453),GH10_e105,GH10,3,GH10_e105,GH10:30|CBM22:16|CBM3:6,3.2.1.8:4,xylan,341,510,8.00E-83,12,340,118,453,"0.9618768328445748	0.9618768328445748"
jgi|Neocon1|334123|CE334122_1606,3.1.1.72:6|3.1.1.73:2,CE6(87-198),CE6_e2,CE6+3.1.1.72,3,CE6_e2,CE6:151|CE0:39|CBM48:38|GH95:11|GH51:3|GH97:2|GH43_10:2|GH43_17:1|CBM5:1|CBM4:1|GH10:1|GH43_28:1|CBM88:1|CBM9:1,3.1.1.72:6|3.1.1.73:2,xylan,111,376,8.80E-49,1,110,89,198,"0.9819819819819819	0.9819819819819819"
jgi|Neocon1|341833|CE341832_132,-,PL1_6(124-347),PL1_e99,PL1,3,PL1_e99,PL1_6:91|CE8:11|PL1:6,-,unassigned,210,491,3.60E-73,3,209,124,347,"0.9809523809523809	0.9809523809523809"
jgi|Neocon1|342977|CE342976_1185,-,CE8(30-302),CE8_e0,CBM1+CE8,3,CE8_e0,CE8:184|CBM1:1,-,unassigned,271,555,8.00E-71,2,262,33,304,"0.959409594095941	0.959409594095941"
jgi|Neocon1|346157|CE346156_1613,3.2.1.21:3,GH1(93-670),GH1_e112,GH1+3.2.1.21,3,GH1_e112,GH1:10,3.2.1.21:3,beta-glucan,580,675,0,1,579,94,667,"0.996551724137931	0.996551724137931"
jgi|Neocon1|356462|CE356461_18293,3.2.1.55:2|3.2.1.21:1|3.2.1.23:1|3.2.1.74:1|3.2.1.55:2,CBM13(442-588),GH39_e81+CBM13_e331,CBM13+GH39+3.2.1.55,3,CBM13_e331,CBM13:6|GH39:5,3.2.1.55:2,xylan,153,691,2.00E-56,1,152,444,599,"0.9869281045751634	0.9869281045751634"
jgi|Neocon1|356654|CE356653_322,-,CE1(359-593),CE1_e22,-,2,CE1_e22,CE1:6|CBM48:2|CE0:2,-,unassigned,206,598,2.10E-38,3,204,363,590,"0.9757281553398058	0.9757281553398058"
jgi|Neocon1|360749|CE360748_6828,3.2.1.8:12|3.1.1.72:1,GH11(45-228),GH11_e2,CBM1+GH11+3.2.1.8,3,GH11_e2,GH11:25|CBM1:4|CE1:1,3.2.1.8:12|3.1.1.72:1,xylan,184,457,7.40E-102,1,183,46,228,"0.9891304347826086	0.9891304347826086"
jgi|Neocon1|360777|CE360776_898,3.2.1.8:12|3.1.1.72:1,GH11(45-227),GH11_e2,CBM1+GH11,3,GH11_e2,GH11:25|CBM1:4|CE1:1,3.2.1.8:12|3.1.1.72:1,xylan,184,310,3.10E-98,1,182,45,226,"0.9836956521739131	0.9836956521739131"
jgi|Neocon1|363680|CE363679_1739,4.2.2.23:15|4.2.2.24:5,PL11_2(127-729),PL11_e0,PL11_2,3,PL11_e0,PL11_1:1283|CBM2:80|CE12:47|PL11:27|CBM35:19|CBM13:13|PL11_2:8|CBM3:6|CBM37:2|GH28:1|GH128:1|CBM0:1|CBM84:1|CBM88:1|CBM5:1|CBM66:1|GH44:1|GH105:1|CBM10:1,4.2.2.23:15|4.2.2.24:5,"pectin, pectin",607,733,3.40E-178,1,583,127,731,"0.9588138385502472	0.9588138385502472"
jgi|Neocon1|364244|CE364243_1836,-,GH43_35(76-370),GH43_e231,GH43_35,3,GH43_e231,GH43_35:13,-,unassigned,282,552,3.10E-94,1,281,77,371,"0.9929078014184397	0.9929078014184397"
jgi|Neocon1|369281|CE369280_21572,3.2.1.4:1,GH124(153-358),GH124_e0,-,2,GH124_e0,GH124:5|CBM3:1,3.2.1.4:1,cellulose,334,577,3.50E-53,139,334,156,359,"0.5838323353293413	0.5838323353293413"
jgi|Neocon1|370926|CE370925_8672,3.1.1.72:6|3.1.1.73:2,CE6(87-196),CE6_e2,CE6+3.1.1.72,3,CE6_e2,CE6:151|CE0:39|CBM48:38|GH95:11|GH51:3|GH97:2|GH43_10:2|GH43_17:1|CBM5:1|CBM4:1|GH10:1|GH43_28:1|CBM88:1|CBM9:1,3.1.1.72:6|3.1.1.73:2,xylan,111,473,3.70E-50,1,110,89,196,"0.9819819819819819	0.9819819819819819"
jgi|Neocon1|380292|CE380291_40227,3.1.1.72:1|3.2.1.8:1,CE1(144-270),CE1_e24,-,2,CE1_e24,CE1:8|CBM4:3|GH11:1|CBM88:1|CBM9:1|CBM6:1|CBM35:1,3.1.1.72:1|3.2.1.8:1,xylan,151,389,3.20E-19,3,149,145,305,"0.9668874172185431	0.9668874172185431"
jgi|Neocon1|382240|CE382239_756,3.2.1.91:55|3.2.1.4:4,GH6(151-453),GH6_e20,GH6+3.2.1.91,3,GH6_e20,GH6:222|CBM1:116|GH131:1,3.2.1.91:55|3.2.1.4:4,"cellulose, cellulose",295,493,9.50E-110,2,295,152,453,"0.9932203389830508	0.9932203389830508"
jgi|Neocon1|382246|CE382245_1013,3.2.1.91:55|3.2.1.4:4,GH6(151-453),GH6_e20,GH6+3.2.1.91,3,GH6_e20,GH6:222|CBM1:116|GH131:1,3.2.1.91:55|3.2.1.4:4,"cellulose, cellulose",295,493,9.50E-110,2,295,152,453,"0.9932203389830508	0.9932203389830508"
jgi|Neocon1|382346|CE382345_973,4.2.2.2:4,PL3_2(114-315),PL3_e16,-,2,PL3_e16,PL3_2:59|PL3:1,4.2.2.2:4,pectin,189,339,1.70E-62,2,184,116,310,"0.9629629629629629	0.9629629629629629"
jgi|Neocon1|382357|CE382356_504,4.2.2.2:4,PL3_2(117-318),PL3_e16,-,2,PL3_e16,PL3_2:59|PL3:1,4.2.2.2:4,pectin,189,342,5.90E-62,2,184,119,313,"0.9629629629629629	0.9629629629629629"
jgi|Neocon1|386864|CE386863_57,2.4.1.16:11,GT2(15-192),GT2,-,2,GT2,GT2:298,2.4.1.16:11,unassigned,505,201,9.50E-58,29,214,15,192,"0.36633663366336633	0.36633663366336633"
jgi|Neocon1|388749|CE388748_6974,3.2.1.55:11|3.2.1.8:2|3.2.1.-:2|3.2.1.37:1|3.2.1.55:13|3.2.1.8:3|3.2.1.-:2|3.2.1.37:1,GH43_16(43-225),GH43_e261+CBM6_e6,CBM13+CBM6+GH43_16+3.2.1.-,3,GH43_e261,GH43_16:637|CBM6:630|CBM22:66|CBM36:43|GH43_10:40|CBM13:21|GH43:12|CBM2:6|GH10:4|CBM3:3|CBM5:2|CBM35:1|CBM42:1|GH43_34:1,3.2.1.55:11|3.2.1.8:2|3.2.1.-:2|3.2.1.37:1,"xylan, xylan, xylan, xylan",297,577,9.80E-77,1,178,44,225,"0.5959595959595959	0.5959595959595959"
jgi|Neocon1|391143|CE391142_10552,3.2.1.23:35|3.2.1.8:3|3.2.1.-:1|3.1.1.73:1,GH2(73-987)+CBM13(1369-1505),GH2_e1+CBM13_e165,GH2,3,CBM13_e165,CBM13:54|CBM2:18|CBM6:18|GH43_16:18|GH10:13|GH30_8:12|CE0:8|GH43_10:2|CBM35:2|GH98:2|CBM36:1,3.2.1.8:3|3.2.1.-:1|3.1.1.73:1,xylan,146,1612,1.80E-44,1,139,1370,1505,"0.9452054794520548	0.9452054794520548"
jgi|Neocon1|391894|CE391893_38073,2.4.1.11:48,GT3(14-709),GT3_e0,GT3,3,GT3_e0,GT3:923,2.4.1.11:48,unassigned,585,752,2.10E-286,1,584,15,643,"0.9965811965811966	0.9965811965811966"
jgi|Neocon1|393378|CE393377_111,3.2.1.8:1,GH10(101-455),GH10_e82,GH10,3,GH10_e82,GH10:7,3.2.1.8:1,xylan,328,497,3.90E-68,12,327,115,455,"0.9603658536585366	0.9603658536585366"
jgi|Neocon1|39754|CE39753_1016,3.2.1.8:12|3.1.1.72:1,GH11(46-226),GH11_e2,GH11,3,GH11_e2,GH11:25|CBM1:4|CE1:1,3.2.1.8:12|3.1.1.72:1,xylan,184,328,1.80E-98,1,182,47,228,"0.9836956521739131	0.9836956521739131"
jgi|Neocon1|472092|gw1.37.22.1,3.1.1.72:1,CE2(233-454),CE2_e13,CE2,3,CE2_e13,CE2:40|CBM65:1,3.1.1.72:1,xylan,217,460,8.90E-89,1,217,234,455,"0.9953917050691244	0.9953917050691244"
jgi|Neocon1|485384|gw1.23.91.1,-,GH114(31-229),GH114_e28,-,2,GH114_e28,GH114:31,-,unassigned,190,306,1.70E-56,12,190,45,230,"0.9368421052631579	0.9368421052631579"
jgi|Neocon1|486624|gw1.6.122.1,-,GT2(15-111),GT92_e13,-,2,GT92_e13,GT92:9,-,unassigned,204,135,6.50E-20,1,119,8,131,"0.5784313725490197	0.5784313725490197"
jgi|Neocon1|487772|gw1.279.73.1,3.2.1.8:12|3.1.1.72:1,GH11(9-197),GH11_e2,CBM1+GH11+3.2.1.8,3,GH11_e2,GH11:25|CBM1:4|CE1:1,3.2.1.8:12|3.1.1.72:1,xylan,184,207,4.50E-72,1,183,10,195,"0.9891304347826086	0.9891304347826086"
jgi|Neocon1|492644|gw1.55.41.1,-,GH114(31-229),GH114_e28,-,2,GH114_e28,GH114:31,-,unassigned,190,297,3.70E-55,12,190,45,230,"0.9368421052631579	0.9368421052631579"
jgi|Neocon1|500166|gw1.102.28.1,-,GT92(88-222),GT92_e8,-,2,GT92_e8,GT92:10,-,unassigned,193,261,3.60E-31,1,153,91,259,"0.7875647668393783	0.7875647668393783"
jgi|Neocon1|5034|CE5033_371,3.1.1.72:1|3.1.1.72:1,CE2(150-371)+CE2(585-806),CE2_e13+CE2_e13,-,2,CE2_e13,CE2:40|CBM65:1,3.1.1.72:1,xylan,217,814,1.80E-53,1,216,586,806,"0.9907834101382489	0.9907834101382489"
jgi|Neocon1|506265|gw1.238.27.1,-,GT71(26-242),GT71_e24,-,2,GT71_e24,GT71:40,-,unassigned,256,242,4.70E-55,1,222,28,242,"0.86328125	0.86328125"
jgi|Neocon1|50765|CE50764_810559,2.4.1.1:158,GT35(135-784),GT35_e0,GT35,3,GT35_e0,GT35:17065|GH77:18|GH13_39:1,2.4.1.1:158,unassigned,712,794,3.40E-291,1,644,136,784,"0.9030898876404494	0.9030898876404494"
jgi|Neocon1|511772|gw1.229.40.1,-,GT92(88-234),GT92_e8,-,2,GT92_e8,GT92:10,-,unassigned,193,261,2.80E-33,1,153,91,259,"0.7875647668393783	0.7875647668393783"
jgi|Neocon1|514179|gw1.156.92.1,-,GH5_7(31-319),GH5_e314,-,2,GH5_e314,GH5_7:18|CBM5:2|CBM23:2|GH5:1|CBM27:1,-,unassigned,302,334,4.80E-83,5,302,33,320,"0.9834437086092715	0.9834437086092715"
jgi|Neocon1|515457|gw1.229.54.1,-,GT92(88-229),GT92_e8,-,2,GT92_e8,GT92:10,-,unassigned,193,261,9.60E-33,1,153,91,259,"0.7875647668393783	0.7875647668393783"
jgi|Neocon1|517948|gw1.1.694.1,3.2.1.8:12|3.1.1.72:1,GH11(46-226),GH11_e2,GH11,3,GH11_e2,GH11:25|CBM1:4|CE1:1,3.2.1.8:12|3.1.1.72:1,xylan,184,243,7.40E-99,1,182,47,228,"0.9836956521739131	0.9836956521739131"
jgi|Neocon1|52035|CE52034_329,3.1.1.-:1,CE12(122-328),CE12_e43,-,2,CE12_e43,CE12:53|CBM1:1,3.1.1.-:1,pectin,213,356,4.30E-59,1,212,123,329,"0.9906103286384976	0.9906103286384976"
jgi|Neocon1|521577|gw1.33.347.1,3.2.1.8:12|3.1.1.72:1,GH11(9-197),GH11_e2,CBM1+GH11+3.2.1.8,3,GH11_e2,GH11:25|CBM1:4|CE1:1,3.2.1.8:12|3.1.1.72:1,xylan,184,205,3.10E-71,1,183,10,195,"0.9891304347826086	0.9891304347826086"
