proteinId	annotation	name
Neocon1|86264	CBM26	Carbohydrate-Binding Module Family 26
Neocon1|86264	GH31	Glycoside Hydrolase Family 31
Neocon1|86276	CBM26	Carbohydrate-Binding Module Family 26
Neocon1|86276	GH31	Glycoside Hydrolase Family 31
Neocon1|86326	CBM26	Carbohydrate-Binding Module Family 26
Neocon1|86326	GH31	Glycoside Hydrolase Family 31
Neocon1|99190	GH43	Glycoside Hydrolase Family 43
Neocon1|100179	DOC2	
Neocon1|100179	DOC2	
Neocon1|107528	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|107528	PL3_2	Polysaccharide Lyase Family 3 / Subf 2
Neocon1|107542	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|107542	PL3_2	Polysaccharide Lyase Family 3 / Subf 2
Neocon1|116193	DOC2	
Neocon1|116193	DOC2	
Neocon1|117885	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|117885	CE6	Carbohydrate Esterase Family 6
Neocon1|122615	DOC2	
Neocon1|122615	DOC2	
Neocon1|122615	GH6	Glycoside Hydrolase Family 6
Neocon1|122621	DOC2	
Neocon1|122621	DOC2	
Neocon1|122621	GH6	Glycoside Hydrolase Family 6
Neocon1|122622	DOC2	
Neocon1|122622	DOC2	
Neocon1|122622	GH6	Glycoside Hydrolase Family 6
Neocon1|122637	DOC2	
Neocon1|122637	DOC2	
Neocon1|122637	GH6	Glycoside Hydrolase Family 6
Neocon1|122638	DOC2	
Neocon1|122638	DOC2	
Neocon1|122638	GH6	Glycoside Hydrolase Family 6
Neocon1|124793	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|124793	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|124793	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|126829	CE6	Carbohydrate Esterase Family 6
Neocon1|126829	DOC2	
Neocon1|126829	DOC2	
Neocon1|126914	GH3	Glycoside Hydrolase Family 3
Neocon1|141455	GH3	Glycoside Hydrolase Family 3
Neocon1|141458	GH3	Glycoside Hydrolase Family 3
Neocon1|141468	GH3	Glycoside Hydrolase Family 3
Neocon1|146718	DOC2	
Neocon1|146718	DOC2	
Neocon1|146718	GH6	Glycoside Hydrolase Family 6
Neocon1|149319	GT39	GlycosylTransferase Family 39
Neocon1|153450	DOC2	
Neocon1|153450	DOC2	
Neocon1|153450	GH6	Glycoside Hydrolase Family 6
Neocon1|173329	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|173329	GH11	Glycoside Hydrolase Family 11
Neocon1|175071	DOC2	
Neocon1|175071	DOC2	
Neocon1|175071	DOC2	
Neocon1|175071	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|181832	GT4	GlycosylTransferase Family 4
Neocon1|183922	GH5_1	Glycoside Hydrolase Family 5 / Subf 1
Neocon1|184763	GH16	Glycoside Hydrolase Family 16
Neocon1|187754	CE4	Carbohydrate Esterase Family 4
Neocon1|187754	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|187754	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|187754	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|187754	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|187754	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|196013	GH11	Glycoside Hydrolase Family 11
Neocon1|196013	GH11	Glycoside Hydrolase Family 11
Neocon1|196013	DOC2	
Neocon1|196013	DOC2	
Neocon1|198324	DOC2	
Neocon1|198324	DOC2	
Neocon1|198324	GH6	Glycoside Hydrolase Family 6
Neocon1|199059	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|199059	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|199059	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|199087	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|199087	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|199087	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|199087	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|199087	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|202442	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|202442	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|202442	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|202442	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|202442	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|209608	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|209608	CE6	Carbohydrate Esterase Family 6
Neocon1|211528	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|211528	GH11	Glycoside Hydrolase Family 11
Neocon1|214246	DOC2	
Neocon1|214246	DOC2	
Neocon1|214246	GH43	Glycoside Hydrolase Family 43
Neocon1|214246	GH43	Glycoside Hydrolase Family 43
Neocon1|214246	GH43	Glycoside Hydrolase Family 43
Neocon1|214246	GH43	Glycoside Hydrolase Family 43
Neocon1|216391	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|216391	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|216391	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|216391	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|218482	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|219849	DOC2	
Neocon1|219849	DOC2	
Neocon1|219849	GH10	Glycoside Hydrolase Family 10
Neocon1|234514	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|248348	GH39	Glycoside Hydrolase Family 39
Neocon1|248348	DOC2	
Neocon1|248348	CBM13	Carbohydrate-Binding Module Family 13
Neocon1|248348	DOC2	
Neocon1|268491	DOC2	
Neocon1|268491	DOC2	
Neocon1|268491	GH6	Glycoside Hydrolase Family 6
Neocon1|269694	PL3_2	Polysaccharide Lyase Family 3 / Subf 2
Neocon1|269745	DOC2	
Neocon1|269745	DOC2	
Neocon1|269745	GH6	Glycoside Hydrolase Family 6
Neocon1|271899	CE4	Carbohydrate Esterase Family 4
Neocon1|281580	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|281580	GH10	Glycoside Hydrolase Family 10
Neocon1|281918	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|281918	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|281918	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|281918	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|281918	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|290842	DOC2	
Neocon1|290842	DOC2	
Neocon1|290889	DOC2	
Neocon1|290889	DOC2	
Neocon1|290889	GH6	Glycoside Hydrolase Family 6
Neocon1|290892	DOC2	
Neocon1|290892	DOC2	
Neocon1|290892	GH6	Glycoside Hydrolase Family 6
Neocon1|290894	DOC2	
Neocon1|290894	DOC2	
Neocon1|290894	GH6	Glycoside Hydrolase Family 6
Neocon1|300833	DOC2	
Neocon1|300833	DOC2	
Neocon1|300833	GH6	Glycoside Hydrolase Family 6
Neocon1|304558	PL1	Polysaccharide Lyase Family 1
Neocon1|307897	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|309127	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|309127	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|309127	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|312248	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|312248	GH10	Glycoside Hydrolase Family 10
Neocon1|312309	GH10	Glycoside Hydrolase Family 10
Neocon1|312309	DOC2	
Neocon1|312309	CBM13	Carbohydrate-Binding Module Family 13
Neocon1|312309	DOC2	
Neocon1|321049	GH48	Glycoside Hydrolase Family 48
Neocon1|321049	DOC2	
Neocon1|321049	DOC2	
Neocon1|329678	DOC2	
Neocon1|329678	GH10	Glycoside Hydrolase Family 10
Neocon1|334123	CE6	Carbohydrate Esterase Family 6
Neocon1|334123	DOC2	
Neocon1|334123	DOC2	
Neocon1|341833	PL1	Polysaccharide Lyase Family 1
Neocon1|342188	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|342977	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|342977	CE8	Carbohydrate Esterase Family 8
Neocon1|346157	GH1	Glycoside Hydrolase Family 1
Neocon1|356462	GH39	Glycoside Hydrolase Family 39
Neocon1|356462	DOC2	
Neocon1|356462	CBM13	Carbohydrate-Binding Module Family 13
Neocon1|356462	DOC2	
Neocon1|356654	DOC2	
Neocon1|356654	DOC2	
Neocon1|360749	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|360749	GH11	Glycoside Hydrolase Family 11
Neocon1|360777	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|360777	GH11	Glycoside Hydrolase Family 11
Neocon1|363680	PL11_2	Polysaccharide Lyase Family 11 / Subf 2
Neocon1|364244	GH43	Glycoside Hydrolase Family 43
Neocon1|369281	DOC2	
Neocon1|369281	DOC2	
Neocon1|369281	GH124	Glycoside Hydrolase Family 124
Neocon1|369281	DOC2	
Neocon1|370926	CE6	Carbohydrate Esterase Family 6
Neocon1|370926	DOC2	
Neocon1|370926	CBM13	Carbohydrate-Binding Module Family 13
Neocon1|370926	DOC2	
Neocon1|382240	DOC2	
Neocon1|382240	DOC2	
Neocon1|382240	GH6	Glycoside Hydrolase Family 6
Neocon1|382246	DOC2	
Neocon1|382246	DOC2	
Neocon1|382246	GH6	Glycoside Hydrolase Family 6
Neocon1|382346	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|382346	PL3_2	Polysaccharide Lyase Family 3 / Subf 2
Neocon1|382357	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|382357	PL3_2	Polysaccharide Lyase Family 3 / Subf 2
Neocon1|386864	GT2	GlycosylTransferase Family 2
Neocon1|388749	CBM6	Carbohydrate-Binding Module Family 6
Neocon1|388749	GH43	Glycoside Hydrolase Family 43
Neocon1|388749	DOC2	
Neocon1|388749	DOC2	
Neocon1|391143	DOC2	
Neocon1|391143	CBM13	Carbohydrate-Binding Module Family 13
Neocon1|391143	DOC2	
Neocon1|391143	GH2	Glycoside Hydrolase Family 2
Neocon1|391894	GT3	GlycosylTransferase Family 3
Neocon1|393378	DOC2	
Neocon1|393378	GH10	Glycoside Hydrolase Family 10
Neocon1|470528	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|472092	CE2	Carbohydrate Esterase Family 2
Neocon1|473039	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|473039	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|474149	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|474149	DOC2	
Neocon1|475265	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|475265	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|485384	GH114	Glycoside Hydrolase Family 114
Neocon1|487772	GH11	Glycoside Hydrolase Family 11
Neocon1|488114	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|492644	GH114	Glycoside Hydrolase Family 114
Neocon1|505376	GT8	GlycosylTransferase Family 8
Neocon1|506265	GT71	GlycosylTransferase Family 71
Neocon1|514179	GH5_7	Glycoside Hydrolase Family 5 / Subf 7
Neocon1|514783	GT8	GlycosylTransferase Family 8
Neocon1|515113	GT8	GlycosylTransferase Family 8
Neocon1|517948	GH11	Glycoside Hydrolase Family 11
Neocon1|519574	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|519574	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|519574	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|519574	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|519574	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|521577	GH11	Glycoside Hydrolase Family 11
Neocon1|528794	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|528794	GH6	Glycoside Hydrolase Family 6
Neocon1|529092	DOC2	
Neocon1|529092	DOC2	
Neocon1|529092	DOC2	
Neocon1|529092	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|529876	GT71	GlycosylTransferase Family 71
Neocon1|530209	GH64	Glycoside Hydrolase Family 64
Neocon1|530209	CBM52	Carbohydrate-Binding Module Family 52
Neocon1|530369	DOC2	
Neocon1|530369	DOC2	
Neocon1|530369	DOC2	
Neocon1|530987	GT101	GlycosylTransferase Family 101
Neocon1|530993	GT2	GlycosylTransferase Family 2
Neocon1|531085	GT2	GlycosylTransferase Family 2
Neocon1|531342	EXPN	Distantly related to plant expansins
Neocon1|531673	GT2	GlycosylTransferase Family 2
Neocon1|531726	GT2	GlycosylTransferase Family 2
Neocon1|531808	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|531808	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|531808	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|531808	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|532437	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|532437	CE8	Carbohydrate Esterase Family 8
Neocon1|532575	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|532575	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|532575	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|532575	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|532575	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|532575	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|532886	CE4	Carbohydrate Esterase Family 4
Neocon1|533196	CE4	Carbohydrate Esterase Family 4
Neocon1|533258	DOC2	
Neocon1|533258	DOC2	
Neocon1|533385	GT71	GlycosylTransferase Family 71
Neocon1|533971	GT33	GlycosylTransferase Family 33
Neocon1|534065	DOC2	
Neocon1|534065	DOC2	
Neocon1|534065	EXPN	Distantly related to plant expansins
Neocon1|534065	DOC2	
Neocon1|534119	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|534119	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|534119	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|534119	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|534119	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|534119	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|534558	DOC2	
Neocon1|534558	DOC2	
Neocon1|535221	DOC2	
Neocon1|535221	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|535268	GT34	GlycosylTransferase Family 34
Neocon1|535945	CE4	Carbohydrate Esterase Family 4
Neocon1|536101	DOC2	
Neocon1|536101	DOC2	
Neocon1|536101	GH5_7	Glycoside Hydrolase Family 5 / Subf 7
Neocon1|536249	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|536455	GH114	Glycoside Hydrolase Family 114
Neocon1|536597	DOC2	
Neocon1|536597	GH9	Glycoside Hydrolase Family 9
Neocon1|536597	DOC2	
Neocon1|536597	DOC2	
Neocon1|537196	GT2	GlycosylTransferase Family 2
Neocon1|537727	DOC2	
Neocon1|537727	DOC2	
Neocon1|539120	GT2	GlycosylTransferase Family 2
Neocon1|539130	PL1	Polysaccharide Lyase Family 1
Neocon1|539326	GH11	Glycoside Hydrolase Family 11
Neocon1|543143	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|544246	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|545152	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|545152	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|545152	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|545152	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|545152	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|545661	CE4	Carbohydrate Esterase Family 4
Neocon1|545968	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|545968	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|545973	GT1	GlycosylTransferase Family 1
Neocon1|546779	DOC2	
Neocon1|546779	DOC2	
Neocon1|546779	EXPN	Distantly related to plant expansins
Neocon1|546779	DOC2	
Neocon1|546833	GH13_14	Glycoside Hydrolase Family 13 / Subf 14
Neocon1|547251	GH45	Glycoside Hydrolase Family 45
Neocon1|547251	DOC2	
Neocon1|547251	DOC2	
Neocon1|547251	DOC2	
Neocon1|547342	GT4	GlycosylTransferase Family 4
Neocon1|547527	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|547527	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|547527	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|547527	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|547527	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|547527	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|547576	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|547576	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|547576	DOC2	
Neocon1|547576	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|547576	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|547886	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|547965	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|548671	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|548671	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|548734	DOC2	
Neocon1|548734	GH9	Glycoside Hydrolase Family 9
Neocon1|548734	DOC2	
Neocon1|548734	DOC2	
Neocon1|548771	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|548831	GH39	Glycoside Hydrolase Family 39
Neocon1|548831	CBM13	Carbohydrate-Binding Module Family 13
Neocon1|549220	CBM48	Carbohydrate-Binding Module Family 48
Neocon1|549220	GH13_8	Glycoside Hydrolase Family 13 / Subf 8
Neocon1|549597	CE18	Carbohydrate Esterase Family 18
Neocon1|549597	CBM87	Carbohydrate-Binding Module Family 87
Neocon1|549688	GH18	Glycoside Hydrolase Family 18
Neocon1|549954	Myosin_motor	Glycosyltransferase Family 2
Neocon1|549954	GT2	GlycosylTransferase Family 2
Neocon1|550056	GT39	GlycosylTransferase Family 39
Neocon1|550386	GT2	GlycosylTransferase Family 2
Neocon1|550648	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|550648	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|550648	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|550648	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|550685	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|550756	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|550774	GT2	GlycosylTransferase Family 2
Neocon1|551422	CE18	Carbohydrate Esterase Family 18
Neocon1|551422	CBM87	Carbohydrate-Binding Module Family 87
Neocon1|551518	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|551518	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|551823	GH114	Glycoside Hydrolase Family 114
Neocon1|552004	GH18	Glycoside Hydrolase Family 18
Neocon1|552786	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|552901	DOC2	
Neocon1|552901	DOC2	
Neocon1|553920	GT101	GlycosylTransferase Family 101
Neocon1|553937	GT2	GlycosylTransferase Family 2
Neocon1|553943	GT2	GlycosylTransferase Family 2
Neocon1|553981	GT2	GlycosylTransferase Family 2
Neocon1|553987	GT10	GlycosylTransferase Family 10
Neocon1|553998	GT2	GlycosylTransferase Family 2
Neocon1|554362	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|554362	DOC2	
Neocon1|554362	DOC2	
Neocon1|554362	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|554362	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|554362	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|554362	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|554362	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|555272	CBM21	Carbohydrate-Binding Module Family 21
Neocon1|555929	GT2	GlycosylTransferase Family 2
Neocon1|556575	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|556575	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|556575	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|556575	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|556575	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|556575	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|556575	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|556786	EXPN	Distantly related to plant expansins
Neocon1|556911	GH47	Glycoside Hydrolase Family 47
Neocon1|557313	GT34	GlycosylTransferase Family 34
Neocon1|557858	GH16	Glycoside Hydrolase Family 16
Neocon1|558250	CBM48	Carbohydrate-Binding Module Family 48
Neocon1|558281	DOC2	
Neocon1|558281	DOC2	
Neocon1|558313	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|558313	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|558313	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|558313	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|559032	DOC2	
Neocon1|559032	DOC2	
Neocon1|559171	GT71	GlycosylTransferase Family 71
Neocon1|559268	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|559513	GT2	GlycosylTransferase Family 2
Neocon1|559777	CE4	Carbohydrate Esterase Family 4
Neocon1|560256	GH20	Glycoside Hydrolase Family 20
Neocon1|560929	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|560929	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|560929	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|560929	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|560929	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|560929	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|560929	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|560929	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|561209	CE18	Carbohydrate Esterase Family 18
Neocon1|561209	CBM87	Carbohydrate-Binding Module Family 87
Neocon1|561785	DOC2	
Neocon1|561785	DOC2	
Neocon1|562373	GH43	Glycoside Hydrolase Family 43
Neocon1|562923	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|562967	CE4	Carbohydrate Esterase Family 4
Neocon1|563282	GT34	GlycosylTransferase Family 34
Neocon1|563322	CE4	Carbohydrate Esterase Family 4
Neocon1|563378	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|563378	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|563378	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|563378	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|564002	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|564002	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|564002	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|564002	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|564421	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|564421	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|564909	GT41	GlycosylTransferase Family 41
Neocon1|564998	GT71	GlycosylTransferase Family 71
Neocon1|565423	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|566068	GH3	Glycoside Hydrolase Family 3
Neocon1|566189	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|566189	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|566966	CBM48	Carbohydrate-Binding Module Family 48
Neocon1|567293	GT22	GlycosylTransferase Family 22
Neocon1|567931	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|567931	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|568709	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|568859	CE18	Carbohydrate Esterase Family 18
Neocon1|568859	CBM87	Carbohydrate-Binding Module Family 87
Neocon1|568884	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|568894	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|568899	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|568899	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|568929	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|568929	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|568977	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|568977	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|568977	CE4	Carbohydrate Esterase Family 4
Neocon1|568979	DOC2	
